,galaxy,v3k,mod0,dl_mpc,z,d_mpc
207,  ESO437-014                 ,3190,32.9,38.018939632056124,1.064069463682105e-05,38.018535088433715
208,  ESO437-019                 ,4706,34.08,65.46361740672747,1.5697526320025034e-05,65.462589806001
209,  ESO437-018                 ,3703,34.03,63.973483548264824,1.235187844518757e-05,63.97269336533257
210,  ESO437-022                 ,4726,34.12,66.68067692136218,1.5764239139064667e-05,66.67962576779588
211,  ESO501-065                 ,4755,31.29,18.113400926196025,1.586097272667213e-05,18.11311363459467
212,  ESO437-039                 ,4086,32.99,39.627803425544016,1.3629428929796493e-05,39.62726332857479
213,  ESO501-078                 ,4786,33.53,50.8159442560561,1.5964377596183557e-05,50.81513302408491
214,  ESO318-003                 ,3068,33.09,41.49540426343633,1.0233746440679305e-05,41.494979614336394
215,  NGC3347                    ,3321,32.15,26.915348039269137,1.107766360153063e-05,26.91504988340071
216,  ESO501-082                 ,4871,34.28,71.77942912713615,1.6247907077101987e-05,71.77826288059072
217,  ESO318-004                 ,3250,32.74,35.3183169791957,1.0840833093939942e-05,35.317934103366866
218,  ESO501-088                 ,4236,34.24,70.46930689671481,1.412977507259372e-05,70.46831119532787
219,  ESO376-023                 ,5082,34.36,74.47319739059888,1.6951727317970086e-05,74.47193496266456
220,  NGC3449                    ,3611,33.28,45.28975799036214,1.204499947760527e-05,45.28921248182146
221,  NGC3435                    ,5306,34.53,80.53784411990677,1.7698910891213947e-05,80.53641871300846
222,  ESO377-004                 ,3473,33.16,42.854852039743925,1.158468102623182e-05,42.85435558570388
223,  ESO377-021                 ,3086,32.75,35.481338923357534,1.0293787977814972e-05,35.48097368973713
224,  ESO377-031                 ,3344,33.28,45.28975799036214,1.1154383343426205e-05,45.28925281667489
225,  UGC06332                   ,6551,34.82,92.04495717531721,2.185178387643094e-05,92.04294587275665
226,  ESO319-016                 ,3203,34.93,96.82778562612486,1.068405796919681e-05,96.82675112350289
227,  NGC3663                    ,5391,34.33,73.45138681571144,1.7982440372132377e-05,73.4500660042792
228,  UGC06586                   ,4308,34.19,68.86522963442748,1.436994122113639e-05,68.86424005934559
229,  PGC035978                  ,7182,34.77,89.94975815300364,2.395657331713128e-05,89.94760331665009
230,  PGC036132                  ,7097,34.61,83.56030182312473,2.367304383621285e-05,83.55832374326388
231,  PGC036349                  ,6304,34.53,80.53784411990677,2.1027880561291506e-05,80.53615061535076
232,  PGC036683                  ,7350,34.07,65.16283940608427,2.4516960997064176e-05,65.1612418504593
233,  NGC3905                    ,6130,35.07,103.27614057613958,2.044747903564672e-05,103.27402888259907
234,  ESO320-026                 ,3103,33.42,48.30588020397729,1.0350493873998657e-05,48.30538021943525
235,  PGC037153                  ,6968,33.43,48.5288500162121,2.3242746153407234e-05,48.52772209868595
236,  UGC06837                   ,6300,35.31,115.34532578210953,2.1014537997483578e-05,115.34290190431472
237,  ESO320-035                 ,3307,32.39,30.06076302628229,1.1030964628202888e-05,30.06043143072647
238,  ESO379-027                 ,3173,33.07,41.114972110452214,1.0583988740637365e-05,41.11453695465601
239,  ESO380-001                 ,3003,31.31,18.281002161427445,1.0016929778800506e-05,18.280819043746785
240,  ESO321-016                 ,3484,32.07,25.941793621188122,1.1621373076703617e-05,25.94149214542973
241,  ESO380-006                 ,3258,32.27,28.444611074479194,1.0867518221555794e-05,28.444301955509395
242,  NGC4373                    ,3718,32.99,39.627803425544016,1.2401913059467293e-05,39.62731197106617
243,  NGC4373A                   ,3234,32.84,36.98281797802667,1.0787462838708237e-05,36.98241903155567
244,  ESO322-009                 ,3846,31.84,23.334580622810044,1.2828875101320928e-05,23.33428127023005
245,  ESO380-034                 ,3354,32.3,28.840315031265998,1.118773975294602e-05,28.83999237693681
246,  ESO322-017                 ,3699,32.59,32.96097121774583,1.2338535881379645e-05,32.96056453263767
247,  NGC4520                    ,7984,35.29,114.28783347897713,2.663175736062046e-05,114.28478987418319
248,  PGC041978                  ,9493,33.26,44.87453899331314,3.1665239557160576e-05,44.873118075279606
249,  NGC4574                    ,3259,32.93,38.54783576657721,1.0870853862507776e-05,38.54741672324324
250,  ESO322-038                 ,3466,32.46,31.045595881283557,1.156133153956795e-05,31.04523695700637
251,  ESO322-040                 ,3639,33.37,47.206304126358994,1.2138397424260754e-05,47.2057311244339
252,  NGC4619                    ,7176,34.95,97.72372209558111,2.393655947141939e-05,97.72138298188574
253,  IC0807                     ,11290,35.06,102.80162981264746,3.7659386347871365e-05,102.79775851214397
254,  NGC4616                    ,4892,32.96,39.08408957924025,1.63179555370936e-05,39.08345181721126
255,  ESO381-014                 ,3603,33.18,43.25138310350088,1.2018314349989418e-05,43.25086330102982
256,  UGC07934                   ,9919,35.94,154.17004529495551,3.30862226027047e-05,154.16494455928228
257,  NGC4675                    ,4941,34.51,79.79946872679753,1.648140194374069e-05,79.79815354135465
258,  PGC043280                  ,3136,33.01,39.9944749761097,1.0460570025414049e-05,39.99405661547987
259,  PGC043319                  ,4197,34.3,72.44359600749891,1.3999685075466441e-05,72.44258183416719
260,  PGC043340                  ,3416,33.51,50.35006087879047,1.1394549491968874e-05,50.34948716906703
261,  PGC043379                  ,3160,32.67,34.197944251370934,1.0540625408261605e-05,34.19758378745036
262,  NGC4708                    ,4460,34.03,63.973483548264824,1.487695864583758e-05,63.97253183155429
263,  PGC043412                  ,3160,32.82,36.643757464783334,1.0540625408261605e-05,36.6433712207336
264,  NGC4709                    ,4951,33.16,42.854852039743925,1.6514758353260507e-05,42.85414431390614
265,  NGC4767A                   ,3196,33.28,45.28975799036214,1.066070848253294e-05,45.289275174602125
266,  ESO323-034                 ,4595,32.67,34.197944251370934,1.5327270174355087e-05,34.197420098273824
267,  ESO507-041                 ,3490,32.58,32.809529311311906,1.1641386922415507e-05,32.809147367332805
268,  ESO507-042                 ,3544,33.17,43.0526610491711,1.1821511533822508e-05,43.0521521076584
269,  NGC4767                    ,3343,32.58,32.809529311311906,1.1151047702474222e-05,32.80916345476514
270,  NGC4786                    ,4961,34.11,66.37430704019089,1.6548114762780325e-05,66.37320868871633
271,  IC3913                     ,7777,34.15,67.60829753919819,2.5941279683560285e-05,67.60654373893863
272,  IC3917                     ,6943,35.77,142.56075936021878,2.3159355129607697e-05,142.5574578214267
273,  PGC044268                  ,7722,35.02,100.92528860766876,2.57578194312013e-05,100.92268905926747
274,  NGC4842                    ,7582,34.94,97.2747223776964,2.5290829697923887e-05,97.27226228147673
